UniProtID	ProteinName
Q96HR3	MED30
Q96IY4	CPB2
Q96KN2	CNDP1
Q96PD5	PGLYRP2
Q99459	CDC5L
Q99683	MAP3K5
Q99714	HSD17B10
Q99784	OLFM1
Q99832	CCT7
Q9BR76	CORO1B
Q9BRP8	PYM1
Q9BXR6	CFHR5
Q9H0W9	C11orf54
Q9H1R3	MYLK2
Q9H299	SH3BGRL3
Q9H4G4	GLIPR2
Q9H8L6	MMRN2
Q9HC38	GLOD4
Q9HCB6	SPON1
Q9HDC9	APMAP
Q9NQ79	CRTAC1
Q9NQC3	RTN4
Q9NTJ3	SMC4
Q9NTX5	ECHDC1
Q9NZP8	C1RL
Q9P0L0	VAPA
Q9UDT6	CLIP2
Q9UGM5	FETUB
Q9UHG3	PCYOX1
Q9UIF8	BAZ2B
Q9UK55	SERPINA10
Q9UL46	PSME2
Q9UNN8	PROCR
Q9UQ35	SRRM2
Q9Y2S2	CRYL1
Q9Y2Z0	SUGT1
Q9Y446	PKP3
Q9Y490	TLN1
Q9Y4L1	HYOU1
Q9Y5Y7	LYVE1
Q9Y6R7	FCGBP
Q9Y6U3	SCIN
