UniProtID,ProteinName,mean_Case,mean_Control,log2foldchange,p_value,t_value
P22307,SCP2,14.5925408651875,14.0907887739653,0.501752091222215,2.10167388626097e-08,5.76012461922779
P07333,CSF1R,11.0846135098678,10.5904997474535,0.494113762414385,1.34945791494633e-12,7.36680865737865
P48047,ATP5PO,16.2158135966044,15.7230654416727,0.492748154931768,0.00512441310141748,2.81632525146798
P61769,B2M,12.0132378444455,11.5306019870156,0.482635857429955,5.85195245667514e-13,7.53354298949203
P01781,IGHV3-7,12.1379187444255,11.6593988373639,0.478519907061575,0.000360996390541967,3.60232211191513
P11413,G6PD,18.3001891136733,17.8278075425149,0.472381571158373,1.82364155337729e-11,6.91747728609748
P04220,IGHM,13.0208206097768,12.5522934818072,0.468527127969542,0.0034844491443247,2.94015430471091
Q99714,HSD17B10,11.9493595348193,11.4832726063262,0.46608692849308,8.82672894815492e-08,5.50992263882233
P61626,LYZ,12.4523971088871,11.9962940752976,0.456103033589557,1.92220994644321e-09,6.17198207827912
Q13263,TRIM28,19.9263268095311,19.4804060780869,0.445920731444225,0.000136805250210665,3.87268497454276
P31943,HNRNPH1,16.1910746777437,15.7508803504928,0.440194327250895,1.21866406584739e-05,4.47260285574742
P00450,CP,20.3449060295312,19.9067569390361,0.438149090495109,4.50161387615195e-11,6.75705009477414
P01771,IGHV3-33,12.5325684443512,12.0959617514689,0.436606692882302,0.00190982262790942,3.12698542889716
O60664,PLIN3,12.527919131353,12.0992615055249,0.428657625828148,0.285340476002313,1.07124139666528
O14980,XPO1,15.7366219513407,15.3085409083922,0.428081042948499,7.39365364850883e-06,4.54095297557056
P15924,DSP,18.4180621960378,17.9933136215415,0.424748574496263,0.00387760960086878,2.92503551292369
Q13564,NAE1,16.179208855219,15.7582061140022,0.421002741216826,7.11449230259128e-06,4.56029981702999
Q9H4G4,GLIPR2,12.703036887284,12.2843394920928,0.418697395191115,4.1150030492824e-11,6.84067751294086
Q9BR76,CORO1B,18.5241263549616,18.1087656267116,0.415360728249954,0.073620575539784,1.79786986504937
P35442,THBS2,12.2417058098835,11.8265715930913,0.415134216792142,2.15993046981223e-06,4.88670726894305
Q5JRA6,MIA3,10.2383396480876,9.83264734332649,0.405692304761118,1.64619400194567e-05,4.42014782090802
Q99784,OLFM1,10.9306759737402,10.5274257297322,0.403250244007999,7.66833982219735e-11,6.78915123812317
P52566,ARHGDIB,19.9298172963124,19.5276336167698,0.402183679542674,0.00349289003000437,2.94151725752297
O75347,TBCA,17.27461457249,16.874315787684,0.400298784805987,0.00574735554454059,2.78921662622232
O43707,ACTN4,18.5314813326767,18.1365286389479,0.394952693728847,6.26288462747355e-08,5.5194374350941
P01773,IGHV3-30,10.8234065040753,10.4325914537391,0.390815050336137,0.0239967053560489,2.27736121736846
P02750,LRG1,17.1043176052292,16.7179685504354,0.38634905479379,4.68685970551653e-06,4.6396649934089
P04278,SHBG,13.6361025208019,13.2559581334546,0.380144387347265,0.000871916898163973,3.35292605684904
P01877,IGHA2,11.3303247525831,10.9552615621815,0.375063190401596,0.0139698490041128,2.47091965136722
P30041,PRDX6,14.8190971951229,14.4447759715789,0.374321223544058,2.15751989594811e-10,6.50354796378679
P01717,IGLV3-25,12.958495575684,12.5865231859867,0.37197238969731,0.00761292385974128,2.68880057086389
P01871,IGHM,17.6656914603366,17.2943440128107,0.371347447525853,0.0117474806879189,2.5304696370562
P31939,ATIC,16.6281034703612,16.257680209689,0.370423260672201,1.9592189453618e-06,4.86837455527895
P01591,JCHAIN,15.176603446522,14.8185709635824,0.35803248293961,0.00681749691990033,2.7190729322381
P31327,CPS1,19.6181657202488,19.2653472150698,0.352818505178963,0.00025606856796118,3.69695188168049
Q06033,ITIH3,15.511755138492,15.1619261327398,0.349829005752213,1.95195104037553e-07,5.28755232855421
Q14766,LTBP1,12.0778650780539,11.728931670129,0.348933407924891,6.72828066475231e-05,4.0761112281146
Q86VB7,CD163,10.9985316672296,10.6607414683386,0.337790198890966,8.85378577113845e-07,5.01801216616338
Q8NBS9,TXNDC5,15.9285016947404,15.5919370660598,0.336564628680637,8.67004659352897e-05,3.99470621149866
Q92835,INPP5D,18.2157346176384,17.8833621778261,0.332372439812275,0.00686840964461455,2.73285131243301
P27824,CANX,15.8244959735776,15.494127304609,0.330368668968632,3.64245226686092e-05,4.21285194743471
P08637,FCGR3A,10.5579868165982,10.2303432315282,0.327643585070041,0.000549048258224294,3.51014416785804
P13647,KRT5,19.4907174660132,19.1677908044626,0.322926661550611,0.117386708205545,1.57011301795475
Q02880,TOP2B,15.5296424088251,15.2103512957526,0.319291113072504,0.0641229199300489,1.86248113321655
P02792,FTL,14.5689776331512,14.2514193050865,0.317558328064665,5.05755304686474e-07,5.12182979382776
Q8WU39,MZB1,14.0026883266851,13.6921904053205,0.310497921364544,0.0275968770781002,2.21915977940635
P13598,ICAM2,12.5466867338139,12.2370452311326,0.309641502681362,0.0344409432322003,2.13116174359046
O75390,CS,18.0753728996783,17.7662384333961,0.309134466282185,0.100916503545612,1.65276446043176
Q08380,LGALS3BP,14.8086729958194,14.5014838034349,0.307189192384488,0.000764869627447104,3.38943972440522
Q96BY6,DOCK10,15.1372549349269,14.8303035805289,0.306951354398031,0.000203083281332507,3.78280755674743
P18428,LBP,12.5859040595195,12.2883585119644,0.297545547555039,0.00275999549040306,3.0108411865523
Q12805,EFEMP1,12.4184278098225,12.1213582400599,0.297069569762629,2.38719429196976e-07,5.26226376769268
P06702,S100A9,14.9818535465676,14.6869124592956,0.294941087271992,0.00201463793956006,3.11545202031696
Q15942,ZYX,15.6979861935506,15.4065720831193,0.291414110431319,0.0698620282122248,1.82238978222908
Q16363,LAMA4,17.7099419405556,17.4273289273074,0.28261301324822,0.00506507811413298,2.82883833473719
Q9H299,SH3BGRL3,11.4334711852598,11.1532297748253,0.280241410434487,0.198686834031113,1.29076728417425
P12111,COL6A3,19.1165642413097,18.8371653612946,0.279398880015119,0.0384012305871582,2.08678117882125
O95678,KRT75,10.8539344473369,10.5757404179555,0.278194029381417,0.0155912255733551,2.43856105662947
P16284,PECAM1,16.8770728247812,16.6023717318829,0.274701092898272,0.0444352976301232,2.01866938566228
